Date,open,high,low,close,volume
2020-01-02,296.4802539792737,297.71735029463804,295.5547178974124,297.6990051269531,59151200.0
2020-01-03,294.2992479953691,296.5718391025249,294.244268433237,295.4447021484375,77709700.0
2020-01-06,293.68530176861276,296.6543382479676,293.5661700502953,296.5718688964844,55653900.0
2020-01-07,296.0036707856056,296.48019761170144,295.2889085116511,295.7379455566406,40496400.0
2020-01-08,295.9304301191349,298.5328990962051,295.6830220422805,297.31414794921875,68296000.0
2020-01-09,298.88109951100057,299.4034333774434,298.29461349284884,299.3301086425781,48473300.0
2020-01-10,299.91655867016334,300.0723247739728,298.0013626882262,298.46868896484375,53029300.0
2020-01-13,299.0918985059818,300.5305679585822,298.6612065390366,300.52142333984375,47086800.0
2020-01-14,300.0814885851053,301.13530077869376,299.50417523626254,300.06317138671875,62832800.0
2020-01-15,299.9715910397463,301.5019023922084,299.8891216822957,300.7413330078125,72056600.0
2020-01-16,302.1250469237905,303.2430114746094,301.89595605653415,303.2430114746094,54050300.0
2020-01-17,303.9576767840355,304.39751321096907,303.1787624910942,304.186767578125,95846000.0
2020-01-21,303.22464675250427,304.39759079860585,303.1513499843944,303.5911865234375,77742400.0
2020-01-22,304.452620782391,305.10325904612256,303.472133024947,303.6278991699219,48914900.0
2020-01-23,302.97721103138565,304.38841838405864,301.85924665475704,303.9760437011719,51963000.0
2020-01-24,304.6358010274464,304.7182703641132,299.98066005754936,301.2727355957031,87578400.0
2020-01-27,296.01285058916926,297.92804662680606,295.6738006255231,296.44354248046875,84062500.0
2020-01-28,297.8730577788498,300.42971926518106,296.5351751654202,299.5500183105469,63834000.0
2020-01-29,300.9154208540977,301.1445117064484,299.10101123601123,299.3026123046875,53888900.0
2020-01-30,297.231623057657,300.484729951174,296.48022631294674,300.2739562988281,75491800.0
2020-01-31,299.650819083877,299.80661315994996,293.9052308771685,294.82159423828125,113845600.0
2020-02-03,296.30609851158897,298.88107731999344,296.1869668001725,297.0116882324219,69083000.0
2020-02-04,300.63138329314756,302.40913073891045,300.3106504717624,301.53857421875,62573200.0
