time,open,high,low,close,volume
2025-12-31 16:00:00,125.58,125.72,125.57,125.68,1755.215
2025-12-31 16:01:00,125.69,125.74,125.63,125.64,713.83
2025-12-31 16:02:00,125.64,125.71,125.55,125.58,783.607
2025-12-31 16:03:00,125.58,125.61,125.36,125.44,1852.151
2025-12-31 16:04:00,125.43,125.47,125.36,125.41,1033.773
2025-12-31 16:05:00,125.41,125.44,125.23,125.3,1219.541
2025-12-31 16:06:00,125.3,125.45,125.29,125.44,357.787
2025-12-31 16:07:00,125.44,125.53,125.3,125.3,5393.447
2025-12-31 16:08:00,125.31,125.34,125.25,125.29,2010.589
2025-12-31 16:09:00,125.29,125.33,125.22,125.25,784.864
2025-12-31 16:10:00,125.25,125.31,125.24,125.29,414.773
2025-12-31 16:11:00,125.3,125.37,125.26,125.3,702.749
2025-12-31 16:12:00,125.29,125.33,125.25,125.32,1548.868
2025-12-31 16:13:00,125.32,125.4,125.32,125.36,1409.839
2025-12-31 16:14:00,125.37,125.38,125.33,125.33,515.66
2025-12-31 16:15:00,125.34,125.44,125.27,125.42,1540.812
2025-12-31 16:16:00,125.42,125.49,125.4,125.45,1129.604
2025-12-31 16:17:00,125.46,125.7,125.46,125.62,3074.401
2025-12-31 16:18:00,125.63,125.69,125.6,125.6,671.329
2025-12-31 16:19:00,125.59,125.67,125.51,125.51,822.902
2025-12-31 16:20:00,125.51,125.67,125.51,125.61,1302.263
2025-12-31 16:21:00,125.61,125.62,125.46,125.49,397.472
2025-12-31 16:22:00,125.5,125.5,125.4,125.41,1131.0
2025-12-31 16:23:00,125.41,125.42,125.39,125.4,189.619
2025-12-31 16:24:00,125.4,125.41,125.2,125.26,2328.379
2025-12-31 16:25:00,125.26,125.34,125.13,125.33,1869.003
2025-12-31 16:26:00,125.33,125.44,125.32,125.44,687.256
2025-12-31 16:27:00,125.43,125.46,125.35,125.36,234.964
2025-12-31 16:28:00,125.35,125.38,125.29,125.29,736.355
2025-12-31 16:29:00,125.28,125.38,125.28,125.36,1859.851
2025-12-31 16:30:00,125.36,125.36,125.27,125.3,688.338
2025-12-31 16:31:00,125.3,125.33,125.21,125.21,600.594
2025-12-31 16:32:00,125.2,125.22,125.13,125.17,712.95
2025-12-31 16:33:00,125.17,125.31,125.15,125.26,1629.285
2025-12-31 16:34:00,125.26,125.31,125.18,125.2,388.432
2025-12-31 16:35:00,125.19,125.19,125.07,125.11,1553.4
2025-12-31 16:36:00,125.12,125.19,125.07,125.08,1093.405
2025-12-31 16:37:00,125.08,125.17,125.03,125.17,935.151
2025-12-31 16:38:00,125.17,125.22,125.13,125.19,2164.21
2025-12-31 16:39:00,125.19,125.19,125.14,125.18,304.092
2025-12-31 16:40:00,125.18,125.18,125.07,125.12,718.768
2025-12-31 16:41:00,125.11,125.14,125.05,125.05,664.134
2025-12-31 16:42:00,125.05,125.05,124.42,124.51,24446.854
2025-12-31 16:43:00,124.51,124.67,124.31,124.43,11033.628
2025-12-31 16:44:00,124.42,124.6,124.39,124.56,2793.448
2025-12-31 16:45:00,124.57,124.6,124.4,124.5,1581.015
2025-12-31 16:46:00,124.51,124.62,124.5,124.59,3441.3
2025-12-31 16:47:00,124.58,124.7,124.54,124.68,3133.355
2025-12-31 16:48:00,124.68,124.69,124.6,124.66,1436.772
2025-12-31 16:49:00,124.65,124.69,124.62,124.65,521.383
2025-12-31 16:50:00,124.65,124.78,124.61,124.78,740.264
