time,open,high,low,close,volume
2025-12-31 16:00:00,2985.76,2987.49,2985.33,2986.74,147.7653
2025-12-31 16:01:00,2986.75,2988.0,2985.07,2985.54,121.5481
2025-12-31 16:02:00,2985.54,2985.93,2981.72,2982.64,328.9826
2025-12-31 16:03:00,2982.64,2982.96,2980.0,2982.5,184.3008
2025-12-31 16:04:00,2982.49,2984.64,2982.17,2982.95,204.0095
2025-12-31 16:05:00,2982.94,2983.76,2980.03,2981.84,239.7676
2025-12-31 16:06:00,2981.83,2985.93,2981.2,2985.92,167.1529
2025-12-31 16:07:00,2985.92,2987.0,2982.77,2982.77,275.3376
2025-12-31 16:08:00,2982.77,2984.49,2981.77,2983.79,100.5508
2025-12-31 16:09:00,2983.8,2984.54,2982.19,2983.42,77.3873
2025-12-31 16:10:00,2983.42,2984.5,2983.42,2983.55,37.8381
2025-12-31 16:11:00,2983.56,2986.03,2983.55,2985.06,110.1849
2025-12-31 16:12:00,2985.06,2986.45,2984.3,2985.49,93.1233
2025-12-31 16:13:00,2985.5,2987.17,2985.15,2987.07,130.1486
2025-12-31 16:14:00,2987.06,2988.5,2985.49,2985.49,359.9406
2025-12-31 16:15:00,2985.49,2987.63,2984.31,2987.38,192.7976
2025-12-31 16:16:00,2987.38,2988.81,2987.11,2988.0,199.9912
2025-12-31 16:17:00,2988.0,2992.2,2987.99,2992.18,525.0347
2025-12-31 16:18:00,2992.19,2997.4,2992.18,2993.6,1077.5718
2025-12-31 16:19:00,2993.61,2994.55,2989.7,2990.12,670.0503
2025-12-31 16:20:00,2990.12,2992.64,2990.0,2991.32,274.6299
2025-12-31 16:21:00,2991.33,2991.47,2988.01,2989.66,214.2061
2025-12-31 16:22:00,2989.66,2990.51,2988.24,2990.17,206.9828
2025-12-31 16:23:00,2990.18,2990.76,2989.55,2990.0,42.6565
2025-12-31 16:24:00,2990.01,2990.01,2983.34,2984.52,410.3483
2025-12-31 16:25:00,2984.51,2987.89,2981.84,2987.46,643.3433
2025-12-31 16:26:00,2987.46,2988.89,2986.99,2988.78,67.2368
2025-12-31 16:27:00,2988.79,2989.02,2986.99,2987.79,121.2529
2025-12-31 16:28:00,2987.79,2988.5,2986.77,2986.77,53.67
2025-12-31 16:29:00,2986.77,2988.26,2986.1,2987.5,291.9863
2025-12-31 16:30:00,2987.5,2987.5,2985.57,2985.57,59.6765
2025-12-31 16:31:00,2985.57,2986.44,2984.0,2984.01,94.7139
2025-12-31 16:32:00,2984.0,2984.5,2981.72,2982.29,168.4694
2025-12-31 16:33:00,2982.29,2984.5,2981.77,2984.03,389.3438
2025-12-31 16:34:00,2984.02,2984.02,2980.73,2981.4,182.386
2025-12-31 16:35:00,2981.39,2981.39,2977.3,2978.5,392.8233
2025-12-31 16:36:00,2978.5,2979.29,2977.55,2977.98,288.2472
2025-12-31 16:37:00,2977.98,2981.86,2976.65,2981.73,150.6844
2025-12-31 16:38:00,2981.73,2983.62,2980.6,2981.99,269.7485
2025-12-31 16:39:00,2981.99,2982.78,2981.24,2982.78,40.4545
2025-12-31 16:40:00,2982.78,2982.78,2980.78,2980.78,54.1169
2025-12-31 16:41:00,2980.78,2981.73,2979.99,2979.99,389.6583
2025-12-31 16:42:00,2979.99,2980.0,2961.72,2963.6,4229.7797
2025-12-31 16:43:00,2963.67,2967.45,2958.91,2964.63,1851.9441
2025-12-31 16:44:00,2964.64,2967.87,2963.9,2966.7,493.3464
2025-12-31 16:45:00,2966.7,2967.49,2964.21,2967.36,459.2417
2025-12-31 16:46:00,2967.37,2970.4,2967.37,2969.18,531.3669
2025-12-31 16:47:00,2969.17,2972.19,2967.5,2970.5,304.9178
2025-12-31 16:48:00,2970.5,2971.5,2969.18,2970.7,254.6555
2025-12-31 16:49:00,2970.7,2971.57,2969.55,2969.68,227.5372
2025-12-31 16:50:00,2969.69,2972.89,2968.0,2972.89,228.8502
2025-12-31 16:51:00,2972.89,2974.75,2972.29,2972.56,238.0577
2025-12-31 16:52:00,2972.55,2977.36,2972.55,2974.99,344.5972
2025-12-31 16:53:00,2974.99,2976.0,2974.41,2975.72,98.9013
2025-12-31 16:54:00,2975.73,2977.22,2974.92,2975.12,167.3986
2025-12-31 16:55:00,2975.13,2976.08,2974.57,2974.57,105.6271
2025-12-31 16:56:00,2974.57,2977.77,2974.22,2977.63,128.1721
2025-12-31 16:57:00,2977.62,2977.62,2975.71,2976.87,82.392
2025-12-31 16:58:00,2976.87,2977.86,2976.29,2977.59,141.8126
2025-12-31 16:59:00,2977.6,2977.75,2976.01,2976.03,55.5414
2025-12-31 17:00:00,2976.03,2976.03,2973.57,2974.3,197.7987
2025-12-31 17:01:00,2974.3,2975.41,2973.6,2973.6,110.4712
2025-12-31 17:02:00,2973.6,2975.99,2973.19,2975.98,83.262
2025-12-31 17:03:00,2975.98,2976.21,2975.1,2975.43,41.5176
2025-12-31 17:04:00,2975.42,2975.43,2973.64,2973.65,126.4978
2025-12-31 17:05:00,2973.65,2975.0,2972.31,2972.31,100.6201
2025-12-31 17:06:00,2972.32,2972.83,2969.54,2972.02,208.6824
2025-12-31 17:07:00,2972.03,2972.53,2969.54,2970.4,189.9662
2025-12-31 17:08:00,2970.41,2971.29,2969.94,2970.4,85.5305
2025-12-31 17:09:00,2970.41,2971.41,2969.53,2970.28,268.2137
2025-12-31 17:10:00,2970.27,2970.6,2969.83,2970.57,88.7537
2025-12-31 17:11:00,2970.56,2970.56,2968.68,2970.05,329.9311
2025-12-31 17:12:00,2970.05,2970.63,2970.02,2970.46,107.5353
2025-12-31 17:13:00,2970.47,2970.47,2969.63,2969.63,39.459
2025-12-31 17:14:00,2969.63,2970.96,2969.53,2970.64,98.1284
